GHI,Festivo,Gas,PotenciaViento,Precios,Ano,Mes,Dia,Hora,GMT
1672,0,15.98,39356,54.99,2016,1,12,18,1
635,0,15.98,36145,63.29,2016,1,12,19,1
426,0,15.98,32565,65.13,2016,1,12,20,1
341,0,15.98,29989,63.29,2016,1,12,21,1
332,0,15.98,26392,53.8,2016,1,12,22,1
335,0,15.98,24241,42,2016,1,12,23,1
284,0,15.97,21568,40.04,2016,1,13,0,1
276,0,15.97,19070,30.69,2016,1,13,1,1
272,0,15.97,16661,25.13,2016,1,13,2,1
264,0,15.97,15028,24.34,2016,1,13,3,1
264,0,15.97,15724,24.28,2016,1,13,4,1
265,0,15.97,17293,24.33,2016,1,13,5,1
313,0,15.97,19379,30.69,2016,1,13,6,1
366,0,15.97,21126,46.83,2016,1,13,7,1
441,0,15.97,23292,51.76,2016,1,13,8,1
3042,0,15.97,25850,54.99,2016,1,13,9,1
8523,0,15.97,29275,54.99,2016,1,13,10,1
13116,0,15.97,31742,50,2016,1,13,11,1
16245,0,15.97,35752,46,2016,1,13,12,1
17180,0,15.97,39314,45.66,2016,1,13,13,1
16730,0,15.97,42322,40.38,2016,1,13,14,1
14308,0,15.97,42220,40.04,2016,1,13,15,1
10920,0,15.97,41570,40.04,2016,1,13,16,1
5480,0,15.97,41739,43,2016,1,13,17,1
1371,0,15.97,44680,50.07,2016,1,13,18,1
463,0,15.97,48166,49.98,2016,1,13,19,1
218,0,15.97,50519,44.5,2016,1,13,20,1
178,0,15.97,52465,42,2016,1,13,21,1
168,0,15.97,55172,38.09,2016,1,13,22,1
162,0,15.97,58042,36,2016,1,13,23,1
102,0,17.69,60569,26.4,2016,1,14,0,1
96,0,17.69,61652,17,2016,1,14,1,1
96,0,17.69,58704,10,2016,1,14,2,1
96,0,17.69,54244,8.5,2016,1,14,3,1
96,0,17.69,52046,8,2016,1,14,4,1
96,0,17.69,52882,11,2016,1,14,5,1
97,0,17.69,49112,23.17,2016,1,14,6,1
139,0,17.69,48142,40.16,2016,1,14,7,1
196,0,17.69,47852,46.94,2016,1,14,8,1
1671,0,17.69,47528,46.3,2016,1,14,9,1
3946,0,17.69,43569,47.51,2016,1,14,10,1
5482,0,17.69,40883,47.21,2016,1,14,11,1
5958,0,17.69,42969,48.37,2016,1,14,12,1
5563,0,17.69,43507,50,2016,1,14,13,1
4665,0,17.69,42879,45.7,2016,1,14,14,1
3881,0,17.69,44584,42.99,2016,1,14,15,1
2569,0,17.69,44843,42.34,2016,1,14,16,1
626,0,17.69,42865,47.52,2016,1,14,17,1
187,0,17.69,41659,54.1,2016,1,14,18,1
182,0,17.69,39371,53.9,2016,1,14,19,1
179,0,17.69,37523,47.28,2016,1,14,20,1
